original_url,redirected_url,is_redirected,page_size
https://en.wikipedia.org/wiki/Peat,https://en.wikipedia.org/wiki/Peat,False,77551
https://en.wikipedia.org/wiki/Cirrus_cloud,https://en.wikipedia.org/wiki/Cirrus_cloud,False,64966
https://en.wikipedia.org/wiki/Copernicus_Programme,https://en.wikipedia.org/wiki/Copernicus_Programme,False,45793
https://en.wikipedia.org/wiki/Be%C5%82chat%C3%B3w_Power_Station,https://en.wikipedia.org/wiki/Be%C5%82chat%C3%B3w_Power_Station,False,13511
https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change,False,90506
https://en.wikipedia.org/wiki/Steven_Chu,https://en.wikipedia.org/wiki/Steven_Chu,False,49065
https://en.wikipedia.org/wiki/Air_conditioning,https://en.wikipedia.org/wiki/Air_conditioning,False,112962
https://en.wikipedia.org/wiki/Edward_Norton_Lorenz,https://en.wikipedia.org/wiki/Edward_Norton_Lorenz,False,27293
https://en.wikipedia.org/wiki/Public_transport,https://en.wikipedia.org/wiki/Public_transport,False,85741
https://en.wikipedia.org/wiki/Fossil_fuel_power_station,https://en.wikipedia.org/wiki/Fossil_fuel_power_station,False,53711
https://en.wikipedia.org/wiki/Landslide,https://en.wikipedia.org/wiki/Landslide,False,65615
https://en.wikipedia.org/wiki/Biodiesel,https://en.wikipedia.org/wiki/Biodiesel,False,147556
https://en.wikipedia.org/wiki/Deforestation,https://en.wikipedia.org/wiki/Deforestation,False,184741
https://en.wikipedia.org/wiki/Transport_economics,https://en.wikipedia.org/wiki/Transport_economics,False,37844
https://en.wikipedia.org/wiki/Bamboo,https://en.wikipedia.org/wiki/Bamboo,False,89269
https://en.wikipedia.org/wiki/Arid,https://en.wikipedia.org/wiki/Aridity,True,5011
https://en.wikipedia.org/wiki/Extraction_of_petroleum,https://en.wikipedia.org/wiki/Extraction_of_petroleum,False,14148
https://en.wikipedia.org/wiki/Category:Environmentalists,https://en.wikipedia.org/wiki/Category:Environmentalists,False,360
https://en.wikipedia.org/wiki/Don%27t_Look_Up,https://en.wikipedia.org/wiki/Don%27t_Look_Up,False,123980
https://en.wikipedia.org/wiki/Heat_transfer,https://en.wikipedia.org/wiki/Heat_transfer,False,66555
https://en.wikipedia.org/wiki/Permafrost,https://en.wikipedia.org/wiki/Permafrost,False,118293
https://en.wikipedia.org/wiki/Blast_furnace,https://en.wikipedia.org/wiki/Blast_furnace,False,68341
https://en.wikipedia.org/wiki/Ozone_depletion,https://en.wikipedia.org/wiki/Ozone_depletion,False,143358
https://en.wikipedia.org/wiki/David_Attenborough,https://en.wikipedia.org/wiki/David_Attenborough,False,184560
https://en.wikipedia.org/wiki/Invasive_species,https://en.wikipedia.org/wiki/Invasive_species,False,140264
https://en.wikipedia.org/wiki/Building-integrated_photovoltaics,https://en.wikipedia.org/wiki/Building-integrated_photovoltaics,False,36578
https://en.wikipedia.org/wiki/Electric_vehicle,https://en.wikipedia.org/wiki/Electric_vehicle,False,146588
https://en.wikipedia.org/wiki/Photovoltaic_system,https://en.wikipedia.org/wiki/Photovoltaic_system,False,127086
https://en.wikipedia.org/wiki/Little_Ice_Age,https://en.wikipedia.org/wiki/Little_Ice_Age,False,157630
https://en.wikipedia.org/wiki/Photovoltaics,https://en.wikipedia.org/wiki/Photovoltaics,False,118339
https://en.wikipedia.org/wiki/Kenneth_Arrow,https://en.wikipedia.org/wiki/Kenneth_Arrow,False,44750
https://en.wikipedia.org/wiki/Beef,https://en.wikipedia.org/wiki/Beef,False,75266
https://en.wikipedia.org/wiki/Polar_climate,https://en.wikipedia.org/wiki/Polar_climate,False,10735
https://en.wikipedia.org/wiki/Category:Climate_change_policy,https://en.wikipedia.org/wiki/Category:Climate_change_policy,False,345
https://en.wikipedia.org/wiki/Category:Climate_by_country,https://en.wikipedia.org/wiki/Category:Climate_by_country,False,143
https://en.wikipedia.org/wiki/Energy_industry,https://en.wikipedia.org/wiki/Energy_industry,False,29326
https://en.wikipedia.org/wiki/Category:Electric_vehicles,https://en.wikipedia.org/wiki/Category:Electric_vehicles,False,1535
"https://en.wikipedia.org/wiki/Heating,_ventilation,_and_air_conditioning","https://en.wikipedia.org/wiki/Heating,_ventilation,_and_air_conditioning",False,60850
https://en.wikipedia.org/wiki/Whale,https://en.wikipedia.org/wiki/Whale,False,112120
https://en.wikipedia.org/wiki/Hemp,https://en.wikipedia.org/wiki/Hemp,False,142285
https://en.wikipedia.org/wiki/Category:Climate_change_organizations,https://en.wikipedia.org/wiki/Category:Climate_change_organizations,False,710
https://en.wikipedia.org/wiki/Category:Climate_change,https://en.wikipedia.org/wiki/Category:Climate_change,False,409
https://en.wikipedia.org/wiki/Emissions_trading,https://en.wikipedia.org/wiki/Emissions_trading,False,70564
https://en.wikipedia.org/wiki/Ethanol_fuel,https://en.wikipedia.org/wiki/Ethanol_fuel,False,86917
https://en.wikipedia.org/wiki/Tonl%C3%A9_Sap,https://en.wikipedia.org/wiki/Tonl%C3%A9_Sap,False,24855
https://en.wikipedia.org/wiki/Ringed_seal,https://en.wikipedia.org/wiki/Ringed_seal,False,30351
https://en.wikipedia.org/wiki/An_Inconvenient_Truth,https://en.wikipedia.org/wiki/An_Inconvenient_Truth,False,125825
https://en.wikipedia.org/wiki/Contrail,https://en.wikipedia.org/wiki/Contrail,False,34966
https://en.wikipedia.org/wiki/Bramble_Cay_melomys,https://en.wikipedia.org/wiki/Bramble_Cay_melomys,False,25797
https://en.wikipedia.org/wiki/Category:Cattle,https://en.wikipedia.org/wiki/Category:Cattle,False,213
https://en.wikipedia.org/wiki/Category:Climatology,https://en.wikipedia.org/wiki/Category:Climatology,False,608
https://en.wikipedia.org/wiki/Lithium-ion_battery,https://en.wikipedia.org/wiki/Lithium-ion_battery,False,226803
https://en.wikipedia.org/wiki/Net_metering,https://en.wikipedia.org/wiki/Net_metering,False,48481
https://en.wikipedia.org/wiki/International_Day_of_Forests,https://en.wikipedia.org/wiki/International_Day_of_Forests,False,38492
https://en.wikipedia.org/wiki/List_of_countries_by_forest_area,https://en.wikipedia.org/wiki/List_of_countries_by_forest_area,False,39025
https://en.wikipedia.org/wiki/Arctic_methane_emissions,https://en.wikipedia.org/wiki/Arctic_methane_emissions,False,27020
https://en.wikipedia.org/wiki/Meadow,https://en.wikipedia.org/wiki/Meadow,False,41589
https://en.wikipedia.org/wiki/Thwaites_Glacier,https://en.wikipedia.org/wiki/Thwaites_Glacier,False,68885
https://en.wikipedia.org/wiki/Paris_Agreement,https://en.wikipedia.org/wiki/Paris_Agreement,False,114500
https://en.wikipedia.org/wiki/Deforestation_in_Indonesia,https://en.wikipedia.org/wiki/Deforestation_in_Indonesia,False,30060
https://en.wikipedia.org/wiki/Car,https://en.wikipedia.org/wiki/Car,False,99605
https://en.wikipedia.org/wiki/Eunice_Newton_Foote,https://en.wikipedia.org/wiki/Eunice_Newton_Foote,False,97905
https://en.wikipedia.org/wiki/Before_the_Flood_(film),https://en.wikipedia.org/wiki/Before_the_Flood_(film),False,22394
